timestamp,service_name,metric_name,value
1692569000,recommendationservice,cpu,17.7401
1692569060,recommendationservice,cpu,10.3825
1692569120,recommendationservice,cpu,16.4371
1692569180,recommendationservice,cpu,15.1045
1692569240,recommendationservice,cpu,16.9774
1692569300,recommendationservice,cpu,15.5784
1692569360,recommendationservice,cpu,17.7409
1692569420,recommendationservice,cpu,15.0476
1692569480,recommendationservice,cpu,14.2257
1692569540,recommendationservice,cpu,15.8707
1692569600,recommendationservice,cpu,15.6482
1692569660,recommendationservice,cpu,14.4647
1692569720,recommendationservice,cpu,14.629
1692569780,recommendationservice,cpu,16.0792
1692569840,recommendationservice,cpu,16.0565
1692569900,recommendationservice,cpu,14.2591
1692569960,recommendationservice,cpu,14.4484
1692570020,recommendationservice,cpu,12.2898
1692570080,recommendationservice,cpu,17.5188
1692570140,recommendationservice,cpu,14.6636
1692570200,recommendationservice,cpu,17.0059
1692570260,recommendationservice,cpu,15.6262
1692570320,recommendationservice,cpu,17.9159
1692570380,recommendationservice,cpu,17.3057
1692570440,recommendationservice,cpu,15.4774
1692570500,recommendationservice,cpu,17.2211
1692570560,recommendationservice,cpu,13.5748
1692570620,recommendationservice,cpu,16.8879
1692570680,recommendationservice,cpu,12.7794
1692570740,recommendationservice,cpu,15.5149
1692569000,recommendationservice,mem,42.1298
1692569060,recommendationservice,mem,40.4473
1692569120,recommendationservice,mem,39.2657
1692569180,recommendationservice,mem,38.3889
1692569240,recommendationservice,mem,39.3144
1692569300,recommendationservice,mem,42.1023
1692569360,recommendationservice,mem,41.7817
1692569420,recommendationservice,mem,39.4757
1692569480,recommendationservice,mem,37.508
1692569540,recommendationservice,mem,41.348
1692569600,recommendationservice,mem,37.1003
1692569660,recommendationservice,mem,38.9383
1692569720,recommendationservice,mem,38.5303
1692569780,recommendationservice,mem,41.4865
1692569840,recommendationservice,mem,40.4719
1692569900,recommendationservice,mem,40.9237
1692569960,recommendationservice,mem,40.5448
1692570020,recommendationservice,mem,38.6441
1692570080,recommendationservice,mem,41.071
1692570140,recommendationservice,mem,42.8249
1692570200,recommendationservice,mem,39.9265
1692570260,recommendationservice,mem,41.2672
1692570320,recommendationservice,mem,39.7482
1692570380,recommendationservice,mem,42.0571
1692570440,recommendationservice,mem,41.3333
1692570500,recommendationservice,mem,41.7516
1692570560,recommendationservice,mem,40.6968
1692570620,recommendationservice,mem,43.28
1692570680,recommendationservice,mem,39.2777
1692570740,recommendationservice,mem,39.3317
1692569000,recommendationservice,latency,0.047
1692569060,recommendationservice,latency,0.0531
1692569120,recommendationservice,latency,0.0469
1692569180,recommendationservice,latency,0.0468
1692569240,recommendationservice,latency,0.0536
1692569300,recommendationservice,latency,0.0558
1692569360,recommendationservice,latency,0.0529
1692569420,recommendationservice,latency,0.0366
1692569480,recommendationservice,latency,0.0452
1692569540,recommendationservice,latency,0.0446
1692569600,recommendationservice,latency,0.044
1692569660,recommendationservice,latency,0.048
1692569720,recommendationservice,latency,0.0591
1692569780,recommendationservice,latency,0.0485
1692569840,recommendationservice,latency,0.0463
1692569900,recommendationservice,latency,0.0535
1692569960,recommendationservice,latency,0.0503
1692570020,recommendationservice,latency,0.0506
1692570080,recommendationservice,latency,0.0466
1692570140,recommendationservice,latency,0.05
1692570200,recommendationservice,latency,0.0522
1692570260,recommendationservice,latency,0.0404
1692570320,recommendationservice,latency,0.0419
1692570380,recommendationservice,latency,0.0554
1692570440,recommendationservice,latency,0.0542
1692570500,recommendationservice,latency,0.0475
1692570560,recommendationservice,latency,0.0449
1692570620,recommendationservice,latency,0.0491
1692570680,recommendationservice,latency,0.044
1692570740,recommendationservice,latency,0.0483
1692569000,checkoutservice,cpu,17.4767
1692569060,checkoutservice,cpu,15.1981
1692569120,checkoutservice,cpu,16.7494
1692569180,checkoutservice,cpu,14.6661
1692569240,checkoutservice,cpu,15.5541
1692569300,checkoutservice,cpu,17.0787
1692569360,checkoutservice,cpu,12.9961
1692569420,checkoutservice,cpu,14.4788
1692569480,checkoutservice,cpu,14.7647
1692569540,checkoutservice,cpu,15.423
1692569600,checkoutservice,cpu,17.3305
1692569660,checkoutservice,cpu,16.0283
1692569720,checkoutservice,cpu,12.7535
1692569780,checkoutservice,cpu,14.5935
1692569840,checkoutservice,cpu,13.6595
1692569900,checkoutservice,cpu,13.6214
1692569960,checkoutservice,cpu,18.0372
1692570020,checkoutservice,cpu,13.4055
1692570080,checkoutservice,cpu,15.3546
1692570140,checkoutservice,cpu,13.9272
1692570200,checkoutservice,cpu,16.2915
