timestamp,service_name,metric_name,value
1692569000,recommendationservice,cpu,15.0018
1692569060,recommendationservice,cpu,15.4481
1692569120,recommendationservice,cpu,14.5888
1692569180,recommendationservice,cpu,13.6641
1692569240,recommendationservice,cpu,14.318
1692569300,recommendationservice,cpu,13.5125
1692569360,recommendationservice,cpu,15.0902
1692569420,recommendationservice,cpu,17.0103
1692569480,recommendationservice,cpu,14.2617
1692569540,recommendationservice,cpu,14.0693
1692569600,recommendationservice,cpu,15.7348
1692569660,recommendationservice,cpu,15.5353
1692569720,recommendationservice,cpu,15.1581
1692569780,recommendationservice,cpu,13.6043
1692569840,recommendationservice,cpu,14.9561
1692569900,recommendationservice,cpu,16.043
1692569960,recommendationservice,cpu,12.9837
1692570020,recommendationservice,cpu,14.3136
1692570080,recommendationservice,cpu,12.1482
1692570140,recommendationservice,cpu,13.0657
1692570200,recommendationservice,cpu,12.2374
1692570260,recommendationservice,cpu,14.6474
1692570320,recommendationservice,cpu,13.0988
1692570380,recommendationservice,cpu,15.4069
1692570440,recommendationservice,cpu,15.2351
1692570500,recommendationservice,cpu,14.7196
1692570560,recommendationservice,cpu,11.2249
1692570620,recommendationservice,cpu,14.192
1692570680,recommendationservice,cpu,14.9272
1692570740,recommendationservice,cpu,15.17
1692569000,recommendationservice,mem,36.9397
1692569060,recommendationservice,mem,39.0445
1692569120,recommendationservice,mem,38.043
1692569180,recommendationservice,mem,38.3823
1692569240,recommendationservice,mem,42.1218
1692569300,recommendationservice,mem,38.3849
1692569360,recommendationservice,mem,39.935
1692569420,recommendationservice,mem,41.7688
1692569480,recommendationservice,mem,38.8328
1692569540,recommendationservice,mem,39.7766
1692569600,recommendationservice,mem,40.2209
1692569660,recommendationservice,mem,40.1276
1692569720,recommendationservice,mem,37.5499
1692569780,recommendationservice,mem,40.1523
1692569840,recommendationservice,mem,42.7176
1692569900,recommendationservice,mem,36.9057
1692569960,recommendationservice,mem,41.7188
1692570020,recommendationservice,mem,40.2387
1692570080,recommendationservice,mem,38.7171
1692570140,recommendationservice,mem,44.0008
1692570200,recommendationservice,mem,41.5245
1692570260,recommendationservice,mem,37.6014
1692570320,recommendationservice,mem,40.149
1692570380,recommendationservice,mem,41.1534
1692570440,recommendationservice,mem,39.6224
1692570500,recommendationservice,mem,41.3658
1692570560,recommendationservice,mem,39.867
1692570620,recommendationservice,mem,41.3345
1692570680,recommendationservice,mem,42.877
1692570740,recommendationservice,mem,38.6487
1692569000,recommendationservice,latency,0.051
1692569060,recommendationservice,latency,0.0477
1692569120,recommendationservice,latency,0.0506
1692569180,recommendationservice,latency,0.0441
1692569240,recommendationservice,latency,0.0471
1692569300,recommendationservice,latency,0.049
1692569360,recommendationservice,latency,0.0545
1692569420,recommendationservice,latency,0.0557
1692569480,recommendationservice,latency,0.0434
1692569540,recommendationservice,latency,0.046
1692569600,recommendationservice,latency,0.0532
1692569660,recommendationservice,latency,0.04
1692569720,recommendationservice,latency,0.0477
1692569780,recommendationservice,latency,0.0495
1692569840,recommendationservice,latency,0.0563
1692569900,recommendationservice,latency,0.0534
1692569960,recommendationservice,latency,0.0484
1692570020,recommendationservice,latency,0.0482
1692570080,recommendationservice,latency,0.0487
1692570140,recommendationservice,latency,0.0576
1692570200,recommendationservice,latency,0.0479
1692570260,recommendationservice,latency,0.0485
1692570320,recommendationservice,latency,0.0518
1692570380,recommendationservice,latency,0.0494
1692570440,recommendationservice,latency,0.049
1692570500,recommendationservice,latency,0.0444
1692570560,recommendationservice,latency,0.0499
1692570620,recommendationservice,latency,0.0478
1692570680,recommendationservice,latency,0.0558
1692570740,recommendationservice,latency,0.0533
1692569000,checkoutservice,cpu,14.9638
1692569060,checkoutservice,cpu,16.0026
1692569120,checkoutservice,cpu,14.4902
1692569180,checkoutservice,cpu,16.5782
1692569240,checkoutservice,cpu,14.9919
1692569300,checkoutservice,cpu,15.8751
1692569360,checkoutservice,cpu,13.0637
1692569420,checkoutservice,cpu,15.52
1692569480,checkoutservice,cpu,12.4677
1692569540,checkoutservice,cpu,11.947
1692569600,checkoutservice,cpu,14.5433
1692569660,checkoutservice,cpu,13.6501
1692569720,checkoutservice,cpu,15.2461
1692569780,checkoutservice,cpu,18.3671
1692569840,checkoutservice,cpu,13.7524
